LTER.site,Locale,Species.code,Year,Abundance
CedarCreek,4,Orphulella speciosa,1995,7
CedarCreek,4,Orphulella speciosa,1996,4.33333333333333
CedarCreek,4,Orphulella speciosa,1997,5.66666666666667
CedarCreek,4,Orphulella speciosa,1998,3.5
CedarCreek,4,Orphulella speciosa,1999,2
CedarCreek,4,Orphulella speciosa,2000,5
CedarCreek,4,Orphulella speciosa,2001,1.66666666666667
CedarCreek,4,Orphulella speciosa,2002,2
CedarCreek,4,Orphulella speciosa,2003,3.66666666666667
CedarCreek,4,Orphulella speciosa,2004,1
CedarCreek,4,Orphulella speciosa,2005,1
CedarCreek,4,Orphulella speciosa,2006,1
CedarCreek,4,Phoetaliotes nebrascensis,1989,4
CedarCreek,4,Phoetaliotes nebrascensis,1990,3.66666666666667
CedarCreek,4,Phoetaliotes nebrascensis,1991,4.66666666666667
CedarCreek,4,Phoetaliotes nebrascensis,1992,1
CedarCreek,4,Phoetaliotes nebrascensis,1993,1.5
CedarCreek,4,Phoetaliotes nebrascensis,1994,2
CedarCreek,4,Phoetaliotes nebrascensis,1995,9.66666666666667
CedarCreek,4,Phoetaliotes nebrascensis,1996,10.6666666666667
CedarCreek,4,Phoetaliotes nebrascensis,1997,4.66666666666667
CedarCreek,4,Phoetaliotes nebrascensis,1998,3
CedarCreek,4,Phoetaliotes nebrascensis,1999,2.5
CedarCreek,4,Phoetaliotes nebrascensis,2001,5.66666666666667
CedarCreek,4,Phoetaliotes nebrascensis,2002,8.33333333333333
CedarCreek,4,Phoetaliotes nebrascensis,2003,11
CedarCreek,4,Phoetaliotes nebrascensis,2004,2
CedarCreek,4,Phoetaliotes nebrascensis,2005,2.5
CedarCreek,4,Phoetaliotes nebrascensis,2006,6
CedarCreek,4,Oecanthus undet,1989,11.6666666666667
CedarCreek,4,Oecanthus undet,1991,9.66666666666667
CedarCreek,4,Oecanthus undet,1994,3
CedarCreek,4,Oecanthus undet,1995,11
CedarCreek,4,Oecanthus undet,1996,4.33333333333333
CedarCreek,4,Oecanthus undet,1997,1.66666666666667
CedarCreek,4,Oecanthus undet,1998,2
CedarCreek,4,Oecanthus undet,1999,1
CedarCreek,4,Oecanthus undet,2000,1
CedarCreek,4,Oecanthus undet,2001,2
CedarCreek,4,Oecanthus undet,2002,1
CedarCreek,4,Oecanthus undet,2004,1
CedarCreek,4,Oecanthus undet,2005,2.5
CedarCreek,4,Oecanthus undet,2006,2
CedarCreek,4,Conocephalus saltans,1989,3
CedarCreek,4,Conocephalus saltans,1991,2
CedarCreek,4,Conocephalus saltans,1994,5
CedarCreek,4,Conocephalus saltans,1995,2
CedarCreek,4,Conocephalus saltans,1996,10
CedarCreek,4,Conocephalus saltans,1997,1
CedarCreek,4,Conocephalus saltans,1998,1
CedarCreek,4,Conocephalus saltans,2000,1
CedarCreek,4,Conocephalus saltans,2003,7
CedarCreek,4,Conocephalus saltans,2004,3
CedarCreek,4,Conocephalus saltans,2005,2.5
CedarCreek,4,Conocephalus saltans,2006,3
CedarCreek,4,Pardalophora apiculata,1989,1
CedarCreek,4,Pardalophora apiculata,1990,2
CedarCreek,4,Pardalophora apiculata,1991,1
CedarCreek,4,Pardalophora apiculata,1992,3.5
CedarCreek,4,Pardalophora apiculata,1994,3.5
CedarCreek,4,Pardalophora apiculata,1995,1
CedarCreek,4,Pardalophora apiculata,1996,1
CedarCreek,4,Pardalophora apiculata,1997,3
CedarCreek,4,Pardalophora apiculata,1998,1.5
CedarCreek,4,Pardalophora apiculata,1999,3
CedarCreek,4,Pardalophora apiculata,2000,2
CedarCreek,4,Pardalophora apiculata,2006,1
CedarCreek,4,Psinidia?? ,1989,1
CedarCreek,4,Scudderia undet,1989,1
CedarCreek,4,Scudderia undet,1991,2
CedarCreek,4,Scudderia undet,1995,1
CedarCreek,4,Scudderia undet,1996,2
CedarCreek,4,Scudderia undet,2000,1
CedarCreek,4,Scudderia undet,2003,6
CedarCreek,4,Scudderia undet,2004,1
CedarCreek,4,Scudderia undet,2005,1
CedarCreek,4,Scudderia undet,2006,1
CedarCreek,4,Pseudopomala brachyptera,1990,1
CedarCreek,4,Pseudopomala brachyptera,1991,6.5
CedarCreek,4,Pseudopomala brachyptera,1992,3
CedarCreek,4,Pseudopomala brachyptera,1993,2
CedarCreek,4,Pseudopomala brachyptera,1994,3
CedarCreek,4,Pseudopomala brachyptera,1995,1
CedarCreek,4,Pseudopomala brachyptera,1996,1
CedarCreek,4,Pseudopomala brachyptera,1997,2.5
CedarCreek,4,Pseudopomala brachyptera,1998,1
CedarCreek,4,Pseudopomala brachyptera,2000,1
CedarCreek,4,Pseudopomala brachyptera,2001,1
CedarCreek,4,Pseudopomala brachyptera,2003,1.33333333333333
CedarCreek,4,Pseudopomala brachyptera,2004,1
CedarCreek,4,Pseudopomala brachyptera,2006,2
CedarCreek,4,Arphia conspersa,1990,1
CedarCreek,4,Arphia conspersa,1991,2
CedarCreek,4,Arphia conspersa,1993,2
CedarCreek,4,Arphia conspersa,1994,3
CedarCreek,4,Arphia conspersa,1995,1
CedarCreek,4,Arphia conspersa,1996,1
CedarCreek,4,Arphia conspersa,1999,1
CedarCreek,4,Arphia conspersa,2002,1
CedarCreek,4,Psinidia fenestralis,1990,1
CedarCreek,4,Schistocerca emarginata,1990,1
CedarCreek,4,Schistocerca emarginata,1991,1
CedarCreek,4,Schistocerca emarginata,1992,1
CedarCreek,4,Schistocerca emarginata,1995,1
CedarCreek,4,Schistocerca emarginata,1996,1
CedarCreek,4,Schistocerca emarginata,1997,6
CedarCreek,4,Schistocerca emarginata,1998,2
CedarCreek,4,Schistocerca emarginata,2003,2
CedarCreek,4,Melanoplus bivittatus,1991,1
CedarCreek,4,Melanoplus bivittatus,2004,1
CedarCreek,4,Encoptolophus sordidus,1991,1
CedarCreek,4,Encoptolophus sordidus,1993,1
CedarCreek,4,Encoptolophus sordidus,1995,1
CedarCreek,4,Encoptolophus sordidus,1997,1
CedarCreek,4,Encoptolophus sordidus,1998,1
CedarCreek,4,Encoptolophus sordidus,1999,1
CedarCreek,4,Encoptolophus sordidus,2001,1
CedarCreek,4,Encoptolophus sordidus,2002,1
CedarCreek,4,Encoptolophus sordidus,2004,1
CedarCreek,4,Encoptolophus sordidus,2006,1.5
CedarCreek,4,Conocephalus undet,1991,5
CedarCreek,4,Conocephalus undet,1995,6
CedarCreek,4,Conocephalus undet,1996,11.5
CedarCreek,4,Conocephalus undet,1997,8.33333333333333
CedarCreek,4,Conocephalus undet,1998,1
CedarCreek,4,Conocephalus undet,2000,1
CedarCreek,4,Conocephalus undet,2002,5
CedarCreek,4,Conocephalus undet,2003,31.5
CedarCreek,4,Conocephalus undet,2004,2.5
CedarCreek,4,Conocephalus undet,2005,2
CedarCreek,4,Conocephalus undet,2006,4
CedarCreek,4,Neoconocephalus ensiger,1991,1.5
CedarCreek,4,Neoconocephalus ensiger,1996,1
CedarCreek,4,Neoconocephalus ensiger,1998,1
CedarCreek,4,Conocephalus fasciatus,1991,2
CedarCreek,4,Orphulella pelidna,1992,1
CedarCreek,4,Nemobius undet,1994,1
CedarCreek,4,Nemobius undet,1995,2
CedarCreek,4,Nemobius undet,1997,3
CedarCreek,4,Nemobius undet,1998,1
CedarCreek,4,Nemobius undet,2002,2
CedarCreek,4,Nemobius undet,2005,2
CedarCreek,4,Nemobius undet,2006,2
CedarCreek,4,Scudderia curvicauda,1994,1
CedarCreek,4,Chorthippus curtipennis,1995,1
CedarCreek,4,Chorthippus curtipennis,1996,1
CedarCreek,4,Chorthippus curtipennis,1997,1.5
CedarCreek,4,Chortophaga viridifasciata,1995,1
CedarCreek,4,Chortophaga viridifasciata,1997,1
CedarCreek,4,Chortophaga viridifasciata,2001,2
CedarCreek,4,Chortophaga viridifasciata,2005,1
CedarCreek,4,Chortophaga viridifasciata,2006,1
CedarCreek,4,Melanoplus angustipennis,1997,1
CedarCreek,4,Melanoplus angustipennis,1998,1
CedarCreek,4,Melanoplus angustipennis,2001,2
CedarCreek,4,Melanoplus angustipennis,2006,8
CedarCreek,4,Melanoplus keeleri,2002,1.5
CedarCreek,4,Melanoplus keeleri,2003,1
CedarCreek,4,Gryllus undet,2002,1
CedarCreek,4,Scudderia texensis,2003,1
CedarCreek,4,Dissosteira carolina,2006,1
CedarCreek,5,Aeropedellus clavatus,1989,3.66666666666667
CedarCreek,5,Aeropedellus clavatus,1990,4
CedarCreek,5,Aeropedellus clavatus,1991,5
CedarCreek,5,Aeropedellus clavatus,1992,6
CedarCreek,5,Aeropedellus clavatus,1993,2
CedarCreek,5,Aeropedellus clavatus,1994,1
CedarCreek,5,Aeropedellus clavatus,1996,4
CedarCreek,5,Aeropedellus clavatus,1997,2.5
CedarCreek,5,Aeropedellus clavatus,2003,2
CedarCreek,5,Melanoplus sanguinipes,1989,24.25
CedarCreek,5,Melanoplus sanguinipes,1990,17.3333333333333
CedarCreek,5,Melanoplus sanguinipes,1991,16.5
CedarCreek,5,Melanoplus sanguinipes,1992,6.5
CedarCreek,5,Melanoplus sanguinipes,1993,2
CedarCreek,5,Melanoplus sanguinipes,1996,1
CedarCreek,5,Melanoplus sanguinipes,1997,1
CedarCreek,5,Melanoplus sanguinipes,2003,1
CedarCreek,5,Melanoplus undet,1989,13.5
CedarCreek,5,Melanoplus undet,1990,12
CedarCreek,5,Melanoplus undet,1991,16
CedarCreek,5,Spharagemon collare,1989,4
CedarCreek,5,Spharagemon collare,1990,4.5
CedarCreek,5,Spharagemon collare,1991,1
CedarCreek,5,Spharagemon collare,1997,1
CedarCreek,5,Spharagemon collare,2002,1
CedarCreek,5,Ageneotettix deorum,1989,4.33333333333333
CedarCreek,5,Ageneotettix deorum,1990,4.33333333333333
CedarCreek,5,Ageneotettix deorum,1991,5
CedarCreek,5,Ageneotettix deorum,1992,2.25
CedarCreek,5,Ageneotettix deorum,1993,1
CedarCreek,5,Ageneotettix deorum,1998,1
CedarCreek,5,Ageneotettix deorum,1999,1
CedarCreek,5,Arphia pseudonietana,1989,1.5
CedarCreek,5,Arphia pseudonietana,1990,3.5
CedarCreek,5,Arphia pseudonietana,1991,1
CedarCreek,5,Melanoplus femurrubrum,1989,14
CedarCreek,5,Melanoplus femurrubrum,1990,14
CedarCreek,5,Melanoplus femurrubrum,1991,10
CedarCreek,5,Melanoplus femurrubrum,1992,2.66666666666667
CedarCreek,5,Melanoplus femurrubrum,1993,4
CedarCreek,5,Melanoplus femurrubrum,1994,2.5
CedarCreek,5,Melanoplus femurrubrum,1995,7.66666666666667
CedarCreek,5,Melanoplus femurrubrum,1996,17.6666666666667
CedarCreek,5,Melanoplus femurrubrum,1997,8.25
CedarCreek,5,Melanoplus femurrubrum,1998,4.66666666666667
CedarCreek,5,Melanoplus femurrubrum,1999,3.33333333333333
CedarCreek,5,Melanoplus femurrubrum,2000,5.66666666666667
CedarCreek,5,Melanoplus femurrubrum,2001,9
CedarCreek,5,Melanoplus femurrubrum,2002,11
CedarCreek,5,Melanoplus femurrubrum,2003,12.75
CedarCreek,5,Melanoplus femurrubrum,2004,4.5
CedarCreek,5,Melanoplus femurrubrum,2005,6
CedarCreek,5,Melanoplus femurrubrum,2006,6.75
CedarCreek,5,Orphulella speciosa,1989,2
CedarCreek,5,Orphulella speciosa,1990,5.5
CedarCreek,5,Orphulella speciosa,1991,4
CedarCreek,5,Orphulella speciosa,1992,2
CedarCreek,5,Orphulella speciosa,1993,2
CedarCreek,5,Orphulella speciosa,1994,1
CedarCreek,5,Orphulella speciosa,1996,3
CedarCreek,5,Orphulella speciosa,1997,1
CedarCreek,5,Orphulella speciosa,1999,1
CedarCreek,5,Orphulella speciosa,2001,1
CedarCreek,5,Orphulella speciosa,2002,4
CedarCreek,5,Orphulella speciosa,2003,3
CedarCreek,5,Orphulella speciosa,2004,1
CedarCreek,5,Orphulella speciosa,2006,2
CedarCreek,5,Pseudopomala brachyptera,1989,3
CedarCreek,5,Pseudopomala brachyptera,1990,2.66666666666667
CedarCreek,5,Pseudopomala brachyptera,1991,4
CedarCreek,5,Pseudopomala brachyptera,1992,2
CedarCreek,5,Pseudopomala brachyptera,1995,1
CedarCreek,5,Pseudopomala brachyptera,1996,1.66666666666667
CedarCreek,5,Pseudopomala brachyptera,1997,1.33333333333333
CedarCreek,5,Pseudopomala brachyptera,2001,1
CedarCreek,5,Pseudopomala brachyptera,2002,1
CedarCreek,5,Oecanthus undet,1989,5
CedarCreek,5,Oecanthus undet,1990,5
CedarCreek,5,Oecanthus undet,1991,8
CedarCreek,5,Oecanthus undet,1995,1.33333333333333
CedarCreek,5,Oecanthus undet,1996,3.5
CedarCreek,5,Oecanthus undet,1997,1
CedarCreek,5,Oecanthus undet,1999,1.5
CedarCreek,5,Oecanthus undet,2000,2
CedarCreek,5,Oecanthus undet,2001,2
CedarCreek,5,Oecanthus undet,2002,3
CedarCreek,5,Oecanthus undet,2003,3
CedarCreek,5,Oecanthus undet,2004,1
CedarCreek,5,Oecanthus undet,2006,1
CedarCreek,5,Conocephalus saltans,1989,10
CedarCreek,5,Conocephalus saltans,1990,3
CedarCreek,5,Conocephalus saltans,1991,3
CedarCreek,5,Conocephalus saltans,1994,2.5
CedarCreek,5,Conocephalus saltans,1995,1
CedarCreek,5,Conocephalus saltans,1996,4
CedarCreek,5,Conocephalus saltans,1997,1
CedarCreek,5,Conocephalus saltans,1999,1
CedarCreek,5,Conocephalus saltans,2000,1
CedarCreek,5,Conocephalus saltans,2001,1
CedarCreek,5,Conocephalus saltans,2002,1
CedarCreek,5,Conocephalus saltans,2004,2
CedarCreek,5,Conocephalus saltans,2005,6
CedarCreek,5,Conocephalus saltans,2006,3
CedarCreek,5,Scudderia undet,1989,1
CedarCreek,5,Scudderia undet,1996,2
CedarCreek,5,Scudderia undet,2001,1
CedarCreek,5,Scudderia undet,2004,1
CedarCreek,5,Chorthippus curtipennis,1989,2
CedarCreek,5,Chorthippus curtipennis,1990,2
CedarCreek,5,Chorthippus curtipennis,1991,3.5
CedarCreek,5,Chorthippus curtipennis,1992,2
CedarCreek,5,Chorthippus curtipennis,1995,1.5
CedarCreek,5,Chorthippus curtipennis,1996,1.33333333333333
CedarCreek,5,Chorthippus curtipennis,1997,1
CedarCreek,5,Chorthippus curtipennis,2000,1
CedarCreek,5,Chorthippus curtipennis,2001,1
CedarCreek,5,Chorthippus curtipennis,2002,2
CedarCreek,5,Chorthippus curtipennis,2004,1
CedarCreek,5,Chorthippus curtipennis,2006,1.5
CedarCreek,5,Pardalophora apiculata,1989,1
CedarCreek,5,Pardalophora apiculata,1990,1
CedarCreek,5,Pardalophora apiculata,1991,1
CedarCreek,5,Pardalophora apiculata,1993,1
CedarCreek,5,Pardalophora apiculata,1994,1
CedarCreek,5,Pardalophora apiculata,1999,1
CedarCreek,5,Pardalophora apiculata,2001,1
CedarCreek,5,Pardalophora apiculata,2004,1
CedarCreek,5,Pardalophora apiculata,2005,1
CedarCreek,5,Pardalophora apiculata,2006,1
CedarCreek,5,Phoetaliotes nebrascensis,1989,1.5
CedarCreek,5,Phoetaliotes nebrascensis,1990,2.33333333333333
CedarCreek,5,Phoetaliotes nebrascensis,1991,1
CedarCreek,5,Phoetaliotes nebrascensis,1992,2
CedarCreek,5,Phoetaliotes nebrascensis,1993,1
CedarCreek,5,Phoetaliotes nebrascensis,1994,1
CedarCreek,5,Phoetaliotes nebrascensis,1995,1
CedarCreek,5,Phoetaliotes nebrascensis,1996,1
CedarCreek,5,Phoetaliotes nebrascensis,1997,1
CedarCreek,5,Phoetaliotes nebrascensis,1998,2
CedarCreek,5,Phoetaliotes nebrascensis,1999,1
CedarCreek,5,Phoetaliotes nebrascensis,2000,2
CedarCreek,5,Phoetaliotes nebrascensis,2001,1
CedarCreek,5,Phoetaliotes nebrascensis,2002,2.5
CedarCreek,5,Phoetaliotes nebrascensis,2003,2
CedarCreek,5,Phoetaliotes nebrascensis,2004,2.5
CedarCreek,5,Phoetaliotes nebrascensis,2006,2.5
CedarCreek,5,Melanoplus bivittatus,1990,1.5
CedarCreek,5,Melanoplus bivittatus,1991,1.5
CedarCreek,5,Melanoplus bivittatus,1997,1
CedarCreek,5,Melanoplus bivittatus,1999,1
CedarCreek,5,Melanoplus bivittatus,2006,1
CedarCreek,5,Melanoplus confusus,1990,1
CedarCreek,5,Melanoplus confusus,1992,1
CedarCreek,5,Melanoplus confusus,1997,1
CedarCreek,5,Dissosteira carolina,1990,1
CedarCreek,5,Dissosteira carolina,2003,1
CedarCreek,5,Melanoplus keeleri,1990,1
CedarCreek,5,Melanoplus keeleri,1991,1
CedarCreek,5,Melanoplus keeleri,1996,1
CedarCreek,5,Melanoplus keeleri,2001,1
CedarCreek,5,Melanoplus keeleri,2002,2
CedarCreek,5,Melanoplus keeleri,2003,2
CedarCreek,5,Melanoplus keeleri,2005,1
CedarCreek,5,Melanoplus keeleri,2006,1
CedarCreek,5,Encoptolophus sordidus,1990,1
CedarCreek,5,Encoptolophus sordidus,1991,1.33333333333333
CedarCreek,5,Encoptolophus sordidus,1992,1
CedarCreek,5,Encoptolophus sordidus,1993,1
CedarCreek,5,Encoptolophus sordidus,2001,1
CedarCreek,5,Encoptolophus sordidus,2003,1
CedarCreek,5,Gryllus undet,1990,3
CedarCreek,5,Schistocerca emarginata,1991,1
CedarCreek,5,Conocephalus undet,1991,6
CedarCreek,5,Conocephalus undet,1995,2
CedarCreek,5,Conocephalus undet,1996,3
CedarCreek,5,Conocephalus undet,1997,3
CedarCreek,5,Conocephalus undet,1998,2
CedarCreek,5,Conocephalus undet,1999,4
CedarCreek,5,Conocephalus undet,2000,1
CedarCreek,5,Conocephalus undet,2001,1
CedarCreek,5,Conocephalus undet,2002,2
CedarCreek,5,Conocephalus undet,2003,2
CedarCreek,5,Conocephalus undet,2004,2
CedarCreek,5,Conocephalus undet,2005,4
CedarCreek,5,Conocephalus undet,2006,11
CedarCreek,5,Neoconocephalus ensiger,1991,1.5
CedarCreek,5,Nomotettix cristatus,1991,1
CedarCreek,5,Nemobius undet,1994,1
CedarCreek,5,Nemobius undet,1995,1
CedarCreek,5,Nemobius undet,1997,1
CedarCreek,5,Nemobius undet,1999,1
CedarCreek,5,Nemobius undet,2003,1
CedarCreek,5,Nemobius undet,2006,3
CedarCreek,5,Tetrix ornata,1996,1
CedarCreek,5,Tetrix ornata,1997,1
CedarCreek,5,Melanoplus angustipennis,1997,4
CedarCreek,5,Melanoplus angustipennis,2001,1
CedarCreek,5,Melanoplus angustipennis,2003,1
CedarCreek,5,Chortophaga viridifasciata,1999,1
CedarCreek,5,Chortophaga viridifasciata,2006,2
CedarCreek,5,Scudderia texensis,1999,1
CedarCreek,5,Conocephalus nigropleurum,2002,1
CedarCreek,5,Conocephalus strictus,2003,1
CedarCreek,5,Scudderia curvicauda,2004,1
CedarCreek,11,Melanoplus femurrubrum,2002,91.75
CedarCreek,11,Melanoplus femurrubrum,2003,36.5
CedarCreek,11,Melanoplus femurrubrum,2004,22.6666666666667
CedarCreek,11,Melanoplus femurrubrum,2005,53.75
CedarCreek,11,Melanoplus femurrubrum,2006,108.75
CedarCreek,11,Melanoplus sanguinipes,2002,10
CedarCreek,11,Melanoplus sanguinipes,2003,8.5
CedarCreek,11,Melanoplus sanguinipes,2004,1.5
CedarCreek,11,Melanoplus sanguinipes,2005,1.5
CedarCreek,11,Melanoplus sanguinipes,2006,2
CedarCreek,11,Spharagemon collare,2002,2.5
CedarCreek,11,Spharagemon collare,2003,2.33333333333333
CedarCreek,11,Spharagemon collare,2004,1
CedarCreek,11,Oecanthus undet,2002,20
CedarCreek,11,Oecanthus undet,2003,23.25
CedarCreek,11,Oecanthus undet,2004,3
CedarCreek,11,Oecanthus undet,2005,3
CedarCreek,11,Oecanthus undet,2006,1.5
CedarCreek,11,Conocephalus strictus,2002,1
CedarCreek,11,Melanoplus angustipennis,2003,5.5
CedarCreek,11,Melanoplus angustipennis,2004,1
CedarCreek,11,Melanoplus angustipennis,2006,1
CedarCreek,11,Melanoplus bivittatus,2003,2
CedarCreek,11,Melanoplus confusus,2003,1
CedarCreek,11,Pseudopomala brachyptera,2003,3
CedarCreek,11,Pseudopomala brachyptera,2004,1
CedarCreek,11,Conocephalus undet,2003,4.5
CedarCreek,11,Conocephalus undet,2005,4
CedarCreek,11,Conocephalus undet,2006,2.5
CedarCreek,11,Neoconocephalus ensiger,2003,1
CedarCreek,11,Arphia conspersa,2003,2
CedarCreek,11,Arphia conspersa,2004,2
CedarCreek,11,Arphia conspersa,2005,1
CedarCreek,11,Arphia conspersa,2006,2
CedarCreek,11,Phoetaliotes nebrascensis,2003,2
CedarCreek,11,Phoetaliotes nebrascensis,2004,2
CedarCreek,11,Phoetaliotes nebrascensis,2005,6.33333333333333
CedarCreek,11,Phoetaliotes nebrascensis,2006,19.6666666666667
CedarCreek,11,Arphia pseudonietana,2003,1
CedarCreek,11,Arphia pseudonietana,2006,1
CedarCreek,11,Orchelimum undet,2004,1
CedarCreek,11,Melanoplus keeleri,2004,1
CedarCreek,11,Melanoplus keeleri,2005,2
CedarCreek,11,Melanoplus keeleri,2006,2
CedarCreek,11,Pardalophora apiculata,2004,3
CedarCreek,11,Pardalophora apiculata,2006,1
CedarCreek,11,Scudderia undet,2005,1
CedarCreek,11,Melanoplus foedus,2005,1
CedarCreek,11,Encoptolophus sordidus,2006,1
CedarCreek,11,Conocephalus saltans,2006,2
CedarCreek,21,Aeropedellus clavatus,1989,1.5
CedarCreek,21,Aeropedellus clavatus,1990,3.5
CedarCreek,21,Aeropedellus clavatus,1991,2
CedarCreek,21,Aeropedellus clavatus,1992,1.5
CedarCreek,21,Aeropedellus clavatus,1993,1
CedarCreek,21,Aeropedellus clavatus,1994,1
CedarCreek,21,Aeropedellus clavatus,1998,1
CedarCreek,21,Aeropedellus clavatus,1999,1
CedarCreek,21,Aeropedellus clavatus,2002,1
CedarCreek,21,Aeropedellus clavatus,2005,1
CedarCreek,21,Melanoplus bivittatus,1989,9
CedarCreek,21,Melanoplus bivittatus,1990,12.6666666666667
CedarCreek,21,Melanoplus bivittatus,1991,10.6666666666667
CedarCreek,21,Melanoplus bivittatus,1992,9.33333333333333
CedarCreek,21,Melanoplus bivittatus,1993,1
CedarCreek,21,Melanoplus bivittatus,1996,3
CedarCreek,21,Melanoplus bivittatus,1997,2
CedarCreek,21,Melanoplus bivittatus,1998,1.5
CedarCreek,21,Melanoplus bivittatus,1999,1.5
CedarCreek,21,Melanoplus bivittatus,2001,1.5
CedarCreek,21,Melanoplus bivittatus,2002,1
CedarCreek,21,Melanoplus bivittatus,2003,2.5
CedarCreek,21,Melanoplus bivittatus,2004,1
CedarCreek,21,Melanoplus bivittatus,2005,2
CedarCreek,21,Melanoplus bivittatus,2006,1
CedarCreek,21,Melanoplus undet,1989,15
CedarCreek,21,Melanoplus undet,1990,42
