LTER	Dataset	Species	Abundance.trend
CedarCreek	Grasshoppers	Chortophaga viridifasciata	0.2717412184153
CedarCreek	Grasshoppers	Conocephalus brevipennis	2.22949086699882
CedarCreek	Grasshoppers	Conocephalus fasciatus	-1.81634063342081
CedarCreek	Grasshoppers	Conocephalus saltans	-0.439836913369178
CedarCreek	Grasshoppers	Conocephalus strictus	-0.082618960329315
CedarCreek	Grasshoppers	Conocephalus undet	1.12109884791921
CedarCreek	Grasshoppers	Diapheromera femorata	0
CedarCreek	Grasshoppers	Dissosteira carolina	-0.963504664720538
CedarCreek	Grasshoppers	Encoptolophus sordidus	-0.403531890081497
CedarCreek	Grasshoppers	Eritettix simplex	0.895179397451898
CedarCreek	Grasshoppers	Gryllus undet	-5.18957533177845
CedarCreek	Grasshoppers	Hypochlora alba	0.1017580822953
CedarCreek	Grasshoppers	Melanoplus angustipennis	-1.98205309479643
CedarCreek	Grasshoppers	Melanoplus bivittatus	-1.95109787858065
CedarCreek	Grasshoppers	Melanoplus confusus	-0.0469360659465173
CedarCreek	Grasshoppers	Melanoplus dawsoni	-1.63683060449127
CedarCreek	Grasshoppers	Melanoplus fasciatus	-1.37074994028413
CedarCreek	Grasshoppers	Melanoplus femurrubrum	0.448485190355812
CedarCreek	Grasshoppers	Melanoplus flavidus	0.467954441147194
CedarCreek	Grasshoppers	Melanoplus foedus	-1.69067749723223
CedarCreek	Grasshoppers	Melanoplus keeleri	-0.614900697912029
CedarCreek	Grasshoppers	Melanoplus sanguinipes	-0.11176170691555
CedarCreek	Grasshoppers	Nemobius undet	-0.438025081952392
CedarCreek	Grasshoppers	Neoconocephalus ensiger	-0.977830653583129
CedarCreek	Grasshoppers	Oecanthus undet	-1.51451807509034
CedarCreek	Grasshoppers	Orchelimum undet	-0.585636933851149
CedarCreek	Grasshoppers	Orphulella pelidna	2.42215900475463
CedarCreek	Grasshoppers	Orphulella speciosa	-1.62143628581776
CedarCreek	Grasshoppers	Pardalophora apiculata	-1.5848579842358
CedarCreek	Grasshoppers	Phoetaliotes nebrascensis	2.04248752125796
CedarCreek	Grasshoppers	Pseudopomala brachyptera	-0.449803747619012
CedarCreek	Grasshoppers	Schistocerca emarginata	-0.912464138833601
CedarCreek	Grasshoppers	Scudderia curvicauda	1.71340266209735
CedarCreek	Grasshoppers	Scudderia furcata	-2.24356957378912
CedarCreek	Grasshoppers	Scudderia texensis	-1.97317599920102
CedarCreek	Grasshoppers	Scudderia undet	-0.170719131547463
CedarCreek	Grasshoppers	Spharagemon bolli	-1.04542912428325
CedarCreek	Grasshoppers	Spharagemon collare	-1.65589206622689
CedarCreek	Grasshoppers	Tetrix ornata	-0.520787493856685
CedarCreek	sweep1	Aceratagallia sanguinolenta	1.08477166964467
CedarCreek	sweep1	Adelphocoris lineolatus	1.09063372908441
CedarCreek	sweep1	Amphicnephes pullus	3.40356038026818
CedarCreek	sweep1	Anthomyza undet	1.10922627394421
CedarCreek	sweep1	Apanteles undet	-2.66666666663366
CedarCreek	sweep1	Aphalara undet	-2.45819259521222
CedarCreek	sweep1	Apion undet	1.49161551657356
CedarCreek	sweep1	Araneus pratense	2.0604784124115
CedarCreek	sweep1	Araneus undet	6.10298069339941e-11
CedarCreek	sweep1	Bruchomorpha dorsata	2.82783040458209
CedarCreek	sweep1	Bruchomorpha nasuta	3.18125738206417
CedarCreek	sweep1	Bruchomorpha tristis	3.38378944817862
CedarCreek	sweep1	Chamaemyia undet	-0.584213291102646
CedarCreek	sweep1	Chauliognathus pennsylvanicus	-1.77064453922077
CedarCreek	sweep1	Chelonus(s.str.) undet	1.33333332673478
CedarCreek	sweep1	Chlorotettix undet	1.51077789764618
CedarCreek	sweep1	Chrysotus undet	1.33333332673478
CedarCreek	sweep1	Coccinella septempunctata	-2.66666666663366
CedarCreek	sweep1	Coenosia undet	1.24909306945766
CedarCreek	sweep1	Commellus comma	1.7286229156443
CedarCreek	sweep1	Conocephalus saltans	-2.53328090334506
CedarCreek	sweep1	Conocephalus strictus	2.66666666663305
CedarCreek	sweep1	Conocephalus undet	2.62459131272963
CedarCreek	sweep1	Crambus undet	1.11471143669323
CedarCreek	sweep1	Curtonotus helvum	-2.95153908676292
CedarCreek	sweep1	Delphacodes undet	-0.331368792904259
CedarCreek	sweep1	Deltocephalus undet	-2.66666666663366
CedarCreek	sweep1	Diabrotica barberi	1.24915855065953
CedarCreek	sweep1	Diabrotica undecimpunctata	-1.02180683933327e-10
CedarCreek	sweep1	Dialictus undet	-0.16679033695844
CedarCreek	sweep1	Dictyna undet	2.67556237652001
CedarCreek	sweep1	Diplocolenus configuratus	3.37418113999859
CedarCreek	sweep1	Diprion simile	0.944665261084392
CedarCreek	sweep1	Dolichopus undet	-2.54003491153021
CedarCreek	sweep1	Doratura stylata	2.99647766688488
CedarCreek	sweep1	Dorycephalus? platyrhynchus	1.33333330223417
CedarCreek	sweep1	Empoasca fabae	2.85327270909685
CedarCreek	sweep1	Endria inimica	1.6961218763507
CedarCreek	sweep1	Epicauta pennsylvanica	0.7217959370107
CedarCreek	sweep1	Euaresta bella	0.0201107483328602
CedarCreek	sweep1	Exitianus exitiosus	-6.45483680528944e-17
CedarCreek	sweep1	Hylemya undet	0.319157695930779
CedarCreek	sweep1	Hyperaspis fimbriolata?	6.59554715511182e-18
CedarCreek	sweep1	Incertella? undet	3.34490129670305
CedarCreek	sweep1	Jalysus spinosus	3.46410159108974
CedarCreek	sweep1	Laevicephalus unicoloratus	2.48455595892428
CedarCreek	sweep1	Leptocera undet	0.400300346682199
CedarCreek	sweep1	Leptothorax ambiguum	2.71027326888144
CedarCreek	sweep1	Lepyronia gibbosa	2.05591820150752
CedarCreek	sweep1	Ligyrocoris diffusus	-1.02100701466491
CedarCreek	sweep1	Lygus lineolaris	0.741418748997264
CedarCreek	sweep1	Macrosteles fascifrons	-0.50239035753547
CedarCreek	sweep1	Malloweia? undet	2.94815029976743
CedarCreek	sweep1	Melanoplus bivittatus	2.80608861920236
CedarCreek	sweep1	Melanoplus femurrubrum	-0.500919959949253
CedarCreek	sweep1	Melanoplus keeleri-luridus	2.80569162617621
CedarCreek	sweep1	Mesograpta undet	1.36552534690377
CedarCreek	sweep1	Metaphidippus undet	3.3669734732995
CedarCreek	sweep1	Misumenops undet	-2.01260440531967
CedarCreek	sweep1	Monomorium minimum	3.38592898413156
CedarCreek	sweep1	Mordellistena undet	-0.897530985283041
CedarCreek	sweep1	Myrmica emeryana	2.82670595595574
CedarCreek	sweep1	Nabis americoferus	-1.36047302415759
CedarCreek	sweep1	Nesosteles neglectus	3.32959792668749
CedarCreek	sweep1	Nysius niger	0.80652345818737
CedarCreek	sweep1	Odontocorynus scutellumalbum	0.584972079988606
CedarCreek	sweep1	Oecanthus undet	3.45633025406989
CedarCreek	sweep1	Orius insidiosus	0.625486151404261
CedarCreek	sweep1	Orphulella speciosa	1.80687574596293
CedarCreek	sweep1	Osbornellus undet	0
CedarCreek	sweep1	Oscinella undet	2.98830738346717
CedarCreek	sweep1	Pachyschelus laevigatus	2.97288026484237
CedarCreek	sweep1	Paratrechina parvula	3.14983904153256
CedarCreek	sweep1	Pardalophora apiculata	0
CedarCreek	sweep1	Phidippus undet	-1.93442636895392
CedarCreek	sweep1	Philaenus(Philaenarcys) bilineatus	1.75776705576823
CedarCreek	sweep1	Phlegyas abbreviatus	2.7785782666914
CedarCreek	sweep1	Phoetaliotes nebrascensis	2.98038997785604
CedarCreek	sweep1	Pristocera armifera	-2.8178658064185
CedarCreek	sweep1	Proformica neogagates	3.06065590317238
CedarCreek	sweep1	Pseudodinia undet	-1.60261974122342
CedarCreek	sweep1	Quantas sayi?	3.27427069139079
CedarCreek	sweep1	Scleroraccus osborni	1.52088628570671
CedarCreek	sweep1	Scolops sulcipes	0.199187324514158
CedarCreek	sweep1	Stenodema vicinum	0.041257053158888
CedarCreek	sweep1	Stictopleurus punctiventris	-0.37338675062724
CedarCreek	sweep1	Tetragnatha undet	2.54770679169673
CedarCreek	sweep1	Tetrastichus undet	-2.81625404892013
CedarCreek	sweep1	Thaumatomyia glabra	-2.98712290803368
CedarCreek	sweep1	Tibellus undet	0.859244097790397
CedarCreek	sweep1	Typhlocyba undet	0.195795060922682
CedarCreek	sweep1	Xysticus undet	0.471705585340862
CedarCreek	sweep2	Acanthepeira stellata	-2.17125292715717
CedarCreek	sweep2	Acanthoscelidius acephalus	2.59807620383831
CedarCreek	sweep2	Aceratagallia sanguinolenta	-0.703915825570216
CedarCreek	sweep2	Adelphocoris lineolatus	-2.05470078864352
CedarCreek	sweep2	Adelphocoris rapidus	-1.33333334084374
CedarCreek	sweep2	Agapostemon undet	0
CedarCreek	sweep2	Agathis undet	1.28920524083001
CedarCreek	sweep2	Ageneotettix deorum	-0.585343311970467
CedarCreek	sweep2	Agromyza undet	-1.49579906458906
CedarCreek	sweep2	Aleochara undet	0
CedarCreek	sweep2	Altica undet	0
CedarCreek	sweep2	Alydus undet	-0.621028278274009
CedarCreek	sweep2	Amphicnephes pullus	1.00506669439567
CedarCreek	sweep2	Andrena undet	-1.6821311904363
CedarCreek	sweep2	Anthicus undet	-1.25240526489415
CedarCreek	sweep2	Anthomyza undet	-0.764085988370001
CedarCreek	sweep2	Apanteles undet	1.46537262806074
CedarCreek	sweep2	Aphalara undet	2.52280110575848
CedarCreek	sweep2	Aphanogmus? undet	-0.821335998701307
CedarCreek	sweep2	Aphrodes undet	1.71188617685661
CedarCreek	sweep2	Apion undet	1.24325733885081
CedarCreek	sweep2	Araneus pratense	0.758437286315845
CedarCreek	sweep2	Araneus undet	-0.194370761997155
CedarCreek	sweep2	Argiope undet	-2.1452219749175
CedarCreek	sweep2	Arhyssus lateralis	-1.35134010274697
CedarCreek	sweep2	Asyndetus undet	-2.38338695937083
CedarCreek	sweep2	Athysanus argentarius	-0.560770237545453
CedarCreek	sweep2	Bocchus undet	-0.246652671699606
CedarCreek	sweep2	Bombus fervidus	3.33333329219518
CedarCreek	sweep2	Bombus griseocollis	-1.74750549530956
CedarCreek	sweep2	Bombus impatiens	-0.313776947403735
CedarCreek	sweep2	Bracon undet	-1.00395947403853
CedarCreek	sweep2	Calliscelio undet	1.80868300837429
CedarCreek	sweep2	Calopteron reticulatum	1.88268372549889
CedarCreek	sweep2	Camptoprosopella undet	0.627915779349119
CedarCreek	sweep2	Campylenchia latipes	1.35840368686485
CedarCreek	sweep2	Carpophilus undet	-1.65719543433145
CedarCreek	sweep2	Centrinaspis? undet	-0.449082566213466
CedarCreek	sweep2	Cephus undet	0.907895687060893
CedarCreek	sweep2	Cerceris undet	0
CedarCreek	sweep2	Cerodontha undet	0.274784667565936
CedarCreek	sweep2	Ceutorhynchus undet	3.17225165734869
CedarCreek	sweep2	Chaetopsis undet	0
CedarCreek	sweep2	Chamaemyia undet	-1.28862461461489
CedarCreek	sweep2	Chauliognathus pennsylvanicus	-1.97726312723016
CedarCreek	sweep2	Chelonus(Microchelonus) undet	0.226327085193354
CedarCreek	sweep2	Chelonus(s.str.) undet	-1.62235222862975
CedarCreek	sweep2	Chlamydatus associatus	-0.310224613841519
CedarCreek	sweep2	Chlorotettix undet	0.592574093812308
CedarCreek	sweep2	Chorthippus curtipennis	-0.407407492196652
CedarCreek	sweep2	Chrysopa undet	0.585382106714962
CedarCreek	sweep2	Chrysops undet	5.55862936716396e-16
CedarCreek	sweep2	Chrysotus undet	-0.716832147354506
CedarCreek	sweep2	Cicindela scutellaris	0
CedarCreek	sweep2	Coccinella 7-punctata	1.68021137729177
CedarCreek	sweep2	Coenosia undet	-0.232433580895735
CedarCreek	sweep2	Coenus delius	0
CedarCreek	sweep2	Colaspis suilla-borealis	-2.02608191688217
CedarCreek	sweep2	Coleoptera undet	0.899554077669535
CedarCreek	sweep2	Commellus comma	-0.573006020532581
CedarCreek	sweep2	Condylostylus undet	-1.65752351144364
CedarCreek	sweep2	Conocephalus saltans	-2.92609311575767
CedarCreek	sweep2	Conocephalus strictus	-2.18902344333332
CedarCreek	sweep2	Conocephalus undet	-2.68374820661909
CedarCreek	sweep2	Corythucha marmorata	-2.06085717928349
CedarCreek	sweep2	Crambus undet	-3.21170293846867
CedarCreek	sweep2	Curtonotus helvum	0.531985588566968
CedarCreek	sweep2	Cycloneda munda	-1.07258171659167
CedarCreek	sweep2	Cyclotelus undet	-1.37509991126093
CedarCreek	sweep2	Cymus undet	0
CedarCreek	sweep2	Cyphon variabilis	-1.20136897362374
CedarCreek	sweep2	Danaus plexippus	-3.26405343774157
CedarCreek	sweep2	Dasymutilla undet	0
CedarCreek	sweep2	Delphacodes campestris	-3.04084727637106
CedarCreek	sweep2	Delphacodes undet	-0.414709121592162
CedarCreek	sweep2	Diabrotica 11-punctata	0.412017251835764
CedarCreek	sweep2	Diabrotica barberi	-1.78882204288228
CedarCreek	sweep2	Dialictus undet	0.25523872666054
CedarCreek	sweep2	Dibrachys undet	-1.14389741664671
CedarCreek	sweep2	Dictyna undet	-0.600450134563592
CedarCreek	sweep2	Dikraneura undet	2.60117956432381
CedarCreek	sweep2	Dioxyna piccicola	-1.97071935946653
CedarCreek	sweep2	Diplocolenus configuratus	0.800785329041538
CedarCreek	sweep2	Diplotoxa versicolor	0.305035603927557
CedarCreek	sweep2	Dolichoderus undet	0
CedarCreek	sweep2	Dolichopus undet	-0.137394671224647
CedarCreek	sweep2	Doratura stylata	2.14156987611908
CedarCreek	sweep2	Draeculacephala undet	-0.205284886178653
CedarCreek	sweep2	Empoasca fabae	-0.157645072132112
CedarCreek	sweep2	Enallagma undet	0
CedarCreek	sweep2	Encyrtus undet	0
CedarCreek	sweep2	Endria inimica	1.22798858240887
CedarCreek	sweep2	Epicauta pennsylvanica	-3.45344144418395
CedarCreek	sweep2	Eribolus undet	0
CedarCreek	sweep2	Eritettix simplex	0
CedarCreek	sweep2	Euaresta bella	-0.328480092125156
CedarCreek	sweep2	Euarestoides abstersus	-0.796563491843642
CedarCreek	sweep2	Euschistus undet	0.244940803776331
CedarCreek	sweep2	Euxoa undet	-1.58836928072937
CedarCreek	sweep2	Everes comyntas	0
CedarCreek	sweep2	Everes undet	-0.115795142956055
CedarCreek	sweep2	Evylaeus undet	0
CedarCreek	sweep2	Exitianus exitiosus	-0.400349334588478
CedarCreek	sweep2	Flexamia undet	-1.18884633343071
CedarCreek	sweep2	Formica cinerea	2.68665516507755
CedarCreek	sweep2	Formica fusca	1.1459087654147
CedarCreek	sweep2	Formica obscuripes	2.62840363032055
CedarCreek	sweep2	Geocoris undet	-2.48188940816222
CedarCreek	sweep2	Habronattus undet	-1.82350197115692
CedarCreek	sweep2	Harmonia axyridis	2.26774666105721
CedarCreek	sweep2	Harmostes reflexulus	1.40426701690851
CedarCreek	sweep2	Hippelates undet	-1.15443998727905
CedarCreek	sweep2	Hippodamia 13-punctata	0
CedarCreek	sweep2	Hippodamia convergens	-2.70117112662393
CedarCreek	sweep2	Hippodamia parenthesis	2.78688873599567
CedarCreek	sweep2	Holcostethus limbolarius	-1.14389750300325
CedarCreek	sweep2	Homaemus undet	-1.13357162943875
CedarCreek	sweep2	Hylemya undet	-1.47192822511051
CedarCreek	sweep2	Hypera punctata	4.36749444804246e-16
CedarCreek	sweep2	Hypolampis pilosa	0.482416868754983
CedarCreek	sweep2	Incertella undet	-1.92470228382915
CedarCreek	sweep2	Jalysus spinosus	0.131234162688675
CedarCreek	sweep2	Laevicephalus unicoloratus	-0.361128983089246
CedarCreek	sweep2	Larinia undet	0
CedarCreek	sweep2	Lasius neoniger	2.60379931227862
CedarCreek	sweep2	Leptocera undet	-0.277494913404931
CedarCreek	sweep2	Leptocera(Rachispoda) undet	0
CedarCreek	sweep2	Lestes undet	0
CedarCreek	sweep2	Leucopis undet	-1.44505704498988
CedarCreek	sweep2	Liburniella ornata	-0.12952295836656
CedarCreek	sweep2	Ligyrocoris diffusus	-0.959959238727995
CedarCreek	sweep2	Liohippelates undet	2.31479918140646
CedarCreek	sweep2	Liriomyza undet	1.67751288654251
CedarCreek	sweep2	Lygaeus kalmii	0
CedarCreek	sweep2	Lygus atritibialis	-1.22363588593267
CedarCreek	sweep2	Lygus lineolaris	0.708204638381524
CedarCreek	sweep2	Macrodactylus subspinosus	-0.26619200871898
CedarCreek	sweep2	Macrosteles fascifrons	-1.87381931916104
CedarCreek	sweep2	Macroteleia undet	0
CedarCreek	sweep2	Malloweia? undet	-1.97806289485265
CedarCreek	sweep2	Medeterus undet	-0.759118112002723
CedarCreek	sweep2	Melanoplus angustipennis	3.45091445400824
CedarCreek	sweep2	Melanoplus bivittatus	0
CedarCreek	sweep2	Melanoplus femurrubrum	-2.34232179872346
CedarCreek	sweep2	Melanoplus foedus	-2.29796136337906
CedarCreek	sweep2	Melanoplus keeleri(luridus)	1.58836928779674
CedarCreek	sweep2	Melanoplus sanguinipes	-1.82144622875158
CedarCreek	sweep2	Melissodes undet	-1.78571270954894
CedarCreek	sweep2	Meromyza americana	-0.710043535236807
CedarCreek	sweep2	Mesograpta marginata	-1.64132850251912
CedarCreek	sweep2	Mesorhaga undet	-1.66629048507053e-11
CedarCreek	sweep2	Metaphidippus undet	-0.360319684804819
CedarCreek	sweep2	Microplitis undet	-0.848603132968921
CedarCreek	sweep2	Misumena vatia	-2.04914365973266
CedarCreek	sweep2	Misumenops asperatus	-1.18234379625607
CedarCreek	sweep2	Misumenops undet	-0.623188922296925
CedarCreek	sweep2	Monomorium minimum	2.08767511332589
CedarCreek	sweep2	Mordellistena undet	-3.17438951633648
CedarCreek	sweep2	Myrmica americana	1.83688942781689
CedarCreek	sweep2	Myzinum undet	0
CedarCreek	sweep2	Nabis americoferus	-3.4689239860861
CedarCreek	sweep2	Neaspilota undet	0
CedarCreek	sweep2	Nehalennia irene	-1.961844368561
CedarCreek	sweep2	Nemobius undet	0
CedarCreek	sweep2	Neoconocephalus ensiger	0
CedarCreek	sweep2	Neoformica pallidefulva	0.231188923743454
CedarCreek	sweep2	Neogonatopus undet	0
CedarCreek	sweep2	Neokolla hieroglyphica	1.90718008206755
CedarCreek	sweep2	Neoscona undet	-1.63768871958333
CedarCreek	sweep2	Neotephritis finalis	5.4966887114738e-08
CedarCreek	sweep2	Nephrotoma? undet	0.171591299833105
CedarCreek	sweep2	Nesosteles neglectus	-0.427197494246648
CedarCreek	sweep2	Norvellina undet	0
CedarCreek	sweep2	Nostima undet	-1.67456667607383
CedarCreek	sweep2	Notoxus anchora	-1.03689591015413
CedarCreek	sweep2	Notoxus bifasciatus	1.48987915627598
CedarCreek	sweep2	Nysius niger	-0.720137748891265
CedarCreek	sweep2	Odontocorynus scutellumalbum	-2.62025928790755
CedarCreek	sweep2	Oecanthus undet	-0.802897927336824
CedarCreek	sweep2	Olcella undet	-0.952236144330039
CedarCreek	sweep2	Opomyza? undet	-2.5594712934278
CedarCreek	sweep2	Orgilus undet	0
CedarCreek	sweep2	Orius insidiosus	-0.446498217961527
CedarCreek	sweep2	Ortholomus scolopax	0.847119323658925
CedarCreek	sweep2	Oscinella undet	-1.69854068414452
CedarCreek	sweep2	Oxybelus undet	-1.78125894548019
CedarCreek	sweep2	Pachybrachis undet	-2.8463601959977
CedarCreek	sweep2	Pachyschelus laevigatus	-0.61319423035268
CedarCreek	sweep2	Parabolocratus undet	1.33723252355563
CedarCreek	sweep2	Paragus undet	0.735453482572646
CedarCreek	sweep2	Paratrechina parvula	-1.8278699070019
CedarCreek	sweep2	Pardalophora apiculata	-0.4864227175671
CedarCreek	sweep2	Paroxyna albiceps	-1.8087401994032
CedarCreek	sweep2	Perilampus undet	0.903706779749779
CedarCreek	sweep2	Phaonia undet	0
CedarCreek	sweep2	Pherbellia undet	-0.765200570158551
CedarCreek	sweep2	Phidippus undet	-0.641319606254518
CedarCreek	sweep2	Philaenus spumarius	-2.13192997905476
CedarCreek	sweep2	Philaenus(Philaenarcys) bilineata	0
CedarCreek	sweep2	Philanthus undet	0
CedarCreek	sweep2	Philygria debilis	-2.4120473362036
CedarCreek	sweep2	Phlepsius undet	0.338613092682734
CedarCreek	sweep2	Phoetaliotes nebrascensis	-2.6026980362133
CedarCreek	sweep2	Phthiria undet	-0.761195362786511
CedarCreek	sweep2	Phymata pennsylvanica	-0.443998788464361
CedarCreek	sweep2	Pipunculus undet	-0.529377235558878
CedarCreek	sweep2	Pitedia persimilis	1.26759622394196
CedarCreek	sweep2	Plagiognathus undet	1.83600903632868
CedarCreek	sweep2	Platycheirus undet	-2.10839072422933
CedarCreek	sweep2	Plunomia undet	0.816074150400983
CedarCreek	sweep2	Polyamia obtecta	0.893859771088621
CedarCreek	sweep2	Pristocera armifera	4.37487662065693
CedarCreek	sweep2	Proformica neogagates	1.57392789822841
CedarCreek	sweep2	Psammotettix lividellus	3.31110062867903
CedarCreek	sweep2	Psen undet	-2.39469747339059
CedarCreek	sweep2	Pseudatomoscelis seriatus	2.73470446145162
CedarCreek	sweep2	Pseudodinia undet	2.06672738330658
CedarCreek	sweep2	Psyllobora 20-maculata	-1.03597501932329
CedarCreek	sweep2	Ptilodexia undet	0
CedarCreek	sweep2	Pyrausta undet	0
CedarCreek	sweep2	Quantas sayi?	1.34507358959746
CedarCreek	sweep2	Rhinoncus pyrrhopus	-0.234027326512147
CedarCreek	sweep2	Rivellia undet	0
CedarCreek	sweep2	Rogas undet	0
CedarCreek	sweep2	Scaphytopius acutus	2.52215008234401
CedarCreek	sweep2	Scatella undet	0
CedarCreek	sweep2	Scelio undet	-1.67374335451259
CedarCreek	sweep2	Schistocerca emarginata	-2.37929083635221
CedarCreek	sweep2	Schoenomyza undet	-1.14500313742182
CedarCreek	sweep2	Scleroracus osborni	-0.615725438688956
CedarCreek	sweep2	Scolops angustatus	0.218464707805983
CedarCreek	sweep2	Scolops sulcipes	2.61157486455554
CedarCreek	sweep2	Scolops undet	-1.49843719786484
CedarCreek	sweep2	Senotainia undet	1.88683985596377
CedarCreek	sweep2	Sepsis undet	2.66666666663305
CedarCreek	sweep2	Sinea diadema	-2.03342571161473
CedarCreek	sweep2	Siphonella oscinina	0.453073002459253
CedarCreek	sweep2	Slaterobius insignis	2.56172801997359
CedarCreek	sweep2	Smicronyx undet	-0.477490349593209
CedarCreek	sweep2	Sphaerophoria undet	-0.462631258592334
CedarCreek	sweep2	Spilochalcis undet	0
CedarCreek	sweep2	Stenodema vicinum	1.23612664853925
CedarCreek	sweep2	Stictocephala undet	2.88951839644033
CedarCreek	sweep2	Stictopleurus punctiventris	-0.920620699579041
CedarCreek	sweep2	Strigoderma arboricola	1.33333332673478
CedarCreek	sweep2	Teleas undet	0
CedarCreek	sweep2	Telenomus undet	-2.13718103492647
CedarCreek	sweep2	Tetragnatha undet	-2.5058733297858
CedarCreek	sweep2	Tetraopes 5-maculata	1.57693014875045
CedarCreek	sweep2	Tetrastichus undet	-1.67810520094511
CedarCreek	sweep2	Thanatus undet	0
CedarCreek	sweep2	Thaumatomyia glabra	-1.37203200315858
CedarCreek	sweep2	Tibellus undet	-0.539853062280997
CedarCreek	sweep2	Tiphia undet	-0.131378826025844
CedarCreek	sweep2	Trigonotylus coelestialium	-2.45636488220075
CedarCreek	sweep2	Trimorus undet	0.440588377651533
CedarCreek	sweep2	Trisulcus undet	0.893445595000652
CedarCreek	sweep2	Trupanea actinobola	-0.121159112865242
CedarCreek	sweep2	Tychius undet	-0.914755167914422
CedarCreek	sweep2	Typhlocyba undet	-0.141529068104572
CedarCreek	sweep2	Urophora undet	3.45034558658163
CedarCreek	sweep2	Urosigalphus undet	0
CedarCreek	sweep2	Vanduzea triguttata	2.74478475457582
CedarCreek	sweep2	Villa lateralis	0
CedarCreek	sweep2	Xyonysius californicus	-0.838773704487721
CedarCreek	sweep2	Xysticus undet	-1.05857891879652
Coweeta	StreamInvertebrates	Mixed_Substrate_Filterer	0.822996943088481
Coweeta	StreamInvertebrates	Mixed_Substrate_Gatherer	-0.376215807358523
Coweeta	StreamInvertebrates	Mixed_Substrate_Predator	-0.719084525825831
Coweeta	StreamInvertebrates	Mixed_Substrate_Scraper	-1.38515241771719
Coweeta	StreamInvertebrates	Mixed_Substrate_Shredder	0.589811500815601
Coweeta	StreamInvertebrates	Rockface_Filterer	-0.0757368206919565
Coweeta	StreamInvertebrates	Rockface_Gatherer	0.367820496235606
Coweeta	StreamInvertebrates	Rockface_Predator	0.219831727372262
Coweeta	StreamInvertebrates	Rockface_Scraper	0.606939773821688
Coweeta	StreamInvertebrates	Rockface_Shredder	0.740733996245074
GeorgiaCoastal	BurrowingCrabs	BurrowingCrabs	-0.219731510760103
GeorgiaCoastal	FiddlerCrabs	FiddlerCrabs	-0.804655189451992
GeorgiaCoastal	Grasshoppers	G0	-1.65886400410263
GeorgiaCoastal	Grasshoppers	G1	-0.647443266258084
GeorgiaCoastal	Grasshoppers	G2	2.68261590581832
GeorgiaCoastal	Grasshoppers	G3	-0.0395057614731914
GeorgiaCoastal	Grasshoppers	G4	3.64828726928977
GeorgiaCoastal	Grasshoppers	G5	-0.656737518588868
GeorgiaCoastal	Invertebrates	Acrididae	-1.16598062670386
GeorgiaCoastal	Invertebrates	Prokelisia	-1.67757273377129
HarvardForest	Ants	aphful	0.686087477525785
HarvardForest	Ants	aphpic	0.636045494928808
HarvardForest	Ants	camnea	2.99999997038053
HarvardForest	Ants	camnov	-0.545319635922994
HarvardForest	Ants	campen	0.475500710666429
HarvardForest	Ants	forase	2.322513163412
HarvardForest	Ants	forneo1	2.37714031937016
HarvardForest	Ants	forsub1	-1.5398112803211
HarvardForest	Ants	forsub2	-2.24164383116611
HarvardForest	Ants	forsub3	-1.08532607632238
